iter	Passed	Remaining
884	16037	2083
885	16054	2065
886	16071	2047
887	16090	2029
888	16107	2011
889	16124	1992
890	16140	1974
891	16157	1956
892	16174	1938
893	16191	1919
894	16210	1901
895	16228	1883
896	16246	1865
897	16264	1847
898	16282	1829
899	16301	1811
900	16318	1793
901	16336	1774
902	16354	1756
903	16370	1738
904	16389	1720
905	16406	1702
906	16424	1684
907	16441	1665
908	16458	1647
909	16476	1629
910	16494	1611
911	16513	1593
912	16534	1575
913	16556	1557
914	16575	1539
915	16593	1521
916	16610	1503
917	16627	1485
918	16645	1467
919	16663	1449
920	16680	1430
921	16696	1412
922	16714	1394
923	16731	1376
924	16748	1358
925	16766	1339
926	16784	1321
927	16802	1303
928	16820	1285
929	16837	1267
930	16855	1249
931	16872	1231
932	16889	1212
933	16905	1194
934	16923	1176
935	16941	1158
936	16959	1140
937	16976	1122
938	16994	1103
939	17014	1086
940	17032	1067
941	17050	1049
942	17067	1031
943	17085	1013
944	17102	995
945	17119	977
946	17136	959
947	17153	940
948	17171	922
949	17188	904
950	17208	886
951	17226	868
952	17243	850
953	17261	832
954	17277	814
955	17295	796
956	17313	777
957	17329	759
958	17347	741
959	17364	723
960	17381	705
961	17399	687
962	17416	669
963	17434	651
964	17452	633
965	17470	614
966	17487	596
967	17504	578
968	17521	560
969	17540	542
970	17559	524
971	17578	506
972	17595	488
973	17612	470
974	17628	452
975	17645	433
976	17662	415
977	17679	397
978	17696	379
979	17715	361
980	17734	343
981	17753	325
982	17771	307
983	17788	289
984	17804	271
985	17823	253
986	17839	234
987	17857	216
988	17875	198
989	17893	180
990	17910	162
991	17928	144
992	17945	126
993	17962	108
994	17979	90
995	17997	72
996	18015	54
997	18032	36
998	18050	18
999	18067	0
